Knn,,,,
default,precision,recall,f1-score,support
0,0.6921,0.6834,0.6878,875.0
1,0.6237,0.8116,0.7053,727.0
2,0.8553,0.7268,0.7858,732.0
3,0.7414,0.8405,0.7879,696.0
4,0.8779,0.8091,0.8421,702.0
5,0.7256,0.8221,0.7708,669.0
6,0.5616,0.5161,0.5379,715.0
7,0.8473,0.8106,0.8285,623.0
8,0.5864,0.5299,0.5567,653.0
9,0.7019,0.6248,0.6611,701.0
macro avg,0.7213,0.7175,0.7164,7093.0
weighted avg,0.72,0.7163,0.7152,7093.0
accuracy,,,0.7163,
,,,,
Knn,,,,
optimized,precision,recall,f1-score,support
0,0.726,0.5966,0.655,875.0
1,0.651,0.7978,0.7169,727.0
2,0.8654,0.694,0.7703,732.0
3,0.7319,0.8276,0.7768,696.0
4,0.8309,0.8048,0.8177,702.0
5,0.7297,0.8191,0.7718,669.0
6,0.571,0.5175,0.5429,715.0
7,0.8259,0.8074,0.8166,623.0
8,0.4825,0.5482,0.5133,653.0
9,0.6863,0.6648,0.6754,701.0
macro avg,0.7101,0.7078,0.7057,7093.0
weighted avg,0.7108,0.7044,0.7042,7093.0
accuracy,,,0.7044,
,,,,
